Name,Type,Notes
,Text,
SMARTCARD,Class,"A smart card with the necessary facilities (hardware and software) are) to host a MEDIUM APPLICATION INSTANCE and communicate with a control device.
"
,Text,
EMV CARD,Class,"A standardised payment card (Europay MasterCard, Visa etc.), capable of being used as token for an Account Based Ticketing system."
MEDIUM APPLICATION INSTANCE,Class,"Initialised instance of a software application that runs on a MEDIUM ACCESS DEVICE.
"
,Text,
MEDIUM ACCESS DEVICE,Class,"A component (mobile phone, smart card, etc.) with the necessary facilities (hardware and software) to host a MEDIUM APPLICATION INSTANCE and communicate with a control device.
"
MEDIUM ACCESS DEVICE SECURITY LISTING,Class,The presence of a specific MEDIUM ACCESS DEVICE on a SECURITY LIST.
TYPE OF MEDIUM ACCESS DEVICE,Class,A classification of MEDIUM ACCESS DEVICEs.
MOBILE DEVICE,Class,"A mobile device (mobile phone, tablet, etc.) with the necessary facilities (hardware and software) to host a MEDIUM APPLICATION INSTANCE and communicate with a control device.
"
,Text,
,Text,
SALES OFFER ENTITLEMENT REQUIRED,Class,SALES OFFER ENTITLEMENT required to use SALES OFFER PACKAGE. 
SALES OFFER ENTITLEMENT GIVEN,Class,SALES OFFER ENTITLEMENT given to use SALES OFFER PACKAGE.
,Text,
,Text,
ST Sales Transaction MODEL,Package,"Describes a record of sales of Fare products.
"
ST Fare Sales Debit MODEL,Package,
ST Retail MODEL,Package,
SE Sales Event MODELs,Package,
ST Customer Payment Means MODEL,Package,
ST Fare Contract MODEL,Package,"Describes the relationship with customer who buys fare products.
"
ST Customer Eligibility MODEL,Package,Describes the eligibility of a specific customer for the characteristics of FARE PRODUCTs.
ST Seat Allocation MODEL,Package,
ST Travel Preferences MODEL,Package,
ST Travel Specification MODEL,Package,
ST Customer Purchase Package MODEL,Package,
CUSTOMER SECURITY LISTING,Class,The presence of a specific TRANSPORT CUSTOMER on a SECURITY LIST.
FARE CONTRACT SECURITY LISTING,Class,"The presence of a specific FARE CONTRACT on a SECURITY LIST.
. "
TYPE OF CUSTOMER ACCOUNT,Class,A classification of CUSTOMER ACCOUNT.
,Text,
FARE CONTRACT STATUS,Class,"A classification of possible status of a CUSTOMER ACCOUNT, e.g., active, suspended, archived, etc."
,Text,
CUSTOMER ACCOUNT SECURITY LISTING,Class,The presence of a specific CUSTOMER ACCOUNT on a SECURITY LIST.
,Text,
FARE CONTRACT ENTRY,Class,A LOG ENTRY associated with a FARE CONTRACT.
TYPE OF FARE CONTRACT ENTRY,Class,A classification of FARE CONTRACT ENTRY.
CUSTOMER ACCOUNT,Class,A registration of the TRANSPORT CUSTOMER with an ACCOUNT PROVIDER to obtain travel services. 
FARE CONTRACT,Class,"A contract with a particular (but possibly anonymous) customer, ruling the consumption of transport services (and joint services).
NOTE: A FARE CONTRACT may be designed for a fixed SALES OFFER PACKAGE (e.g., ticket) or to allow successive purchases of SALES OFFER PACKAGEs."
TRANSPORT CUSTOMER,Class,"A specific person or organisation involved in a fare process.
NOTE: There may be a FARE CONTRACT between the TRANSPORT CUSTOMER and the OPERATOR or the AUTHORITY ruling the consumption of services."
,Text,
TYPE OF FARE CONTRACT,Class,A classification of FARE CONTRACT.
,Text,
,Text,
,Note,The existing entitlements for a customer can be found by examining their CUSTOMER PURCHASE PACKAGES.
CUSTOMER ELIGIBILITY,Class,A parameter indicating whether a specific TRANSPORT CUSTOMER is eligible for a FARE PRODUCT with a specific validity parameter. This may be subject to a particular VALIDITY CONDITION.
USER PROFILE ELIGIBILITY ,Class,Whether a specific TRANSPORT CUSTOMER is eligible for a FARE PRODUCT with a specific USER PROFILE as a validity parameter.
,Text,
COMMERCIAL PROFILE ELIGIBILITY,Class,"A parameter indicating whether a specific TRANSPORT CUSTOMER is eligible for a FARE PRODUCT linked to a specific COMMERCIAL PROFILE.
"
RESIDENTIAL ELIGIBILITY,Class,"<font color=""#0f0f0f"">Parameters indicating whether a specific TRANSPORT CUSTOMER is eligible for an access right with a specific RESIDENTIAL PROFILE as a validity parameter.</font>
"
,Text,
,Text,
CUSTOMER PAYMENT MEANS,Class,"A registered means with which a TRANSPORT CUSTOMER wishes to make payments for a CUSTOMER ACCOUNT, e.g., by nominated EMV CARD."
,Text,
,Text,
,Note,"Payment may be by MEDIUM ACCESS DEVICE (e.g., an EMV card), or through another payment account, identified by a CUSTOMER ACCOUNT
"
,Text,
RETAIL DEVICE,Class,"<font color=""#0f0f0f"">An equipment used to sell FARE PRODUCTs.</font>
<font color=""#0f0f0f"">NOTE: Its identity can be used to record fulfilment and to support security processes.</font>
"
RETAIL CONSORTIUM,Class,A group of ORGANISATIONs formally incorporated as a retailer of FARE PRODUCTS.
RETAIL DEVICE SECURITY LISTING,Class,The presence of a specific RETAIL DEVICE on a SECURITY LIST. 
,Text,
,Text,
TYPE OF RETAIL DEVICE,Class,A classification of RETAIL DEVICEs.
TRAVEL DOCUMENT,Class,"Group of elements concerned with temporal scope.
"
SALES TRANSACTION,Class,A sale of a SALES OFFER PACKAGE
,Text,
TRAVEL DOCUMENT SECURITY LISTING,Class,The presence of a specific TRAVEL DOCUMENT on a SECURITY LIST.
,Text,
,Text,
,Note,"RESPONSIBILITY SET can be used to assign to CUSTOMER PURCHASE PACKAGE and CUSTOMER PURCHASE PACKAGE ELEMENTs various FARE MANAGEMENT, TECHNOLOGY and TRAVEL ORGANISATION ROLEs extracted from the relevant SALES OFFER and FARE PRODUCT elements."
FARE PRODUCT SALE DEBIT,Class,A LOG ENTRY recording data about a debiting action made to purchase a FARE PRODUCT.
OFFENCE DEBIT,Class,A LOG ENTRY recording data about a debiting action for a fine for an OFFENCE or penalty fare.
FARE DEBIT,Class,A LOG ENTRY recording data about a debiting action relating to a fare or use of a fare.
BOOKING DEBIT,Class,A LOG ENTRY recording data about a debiting action for a booking fee. 
,Text,
,Text,
OTHER DEBIT,Class,"<font color=""#0f0f0f"">A LOG ENTRY recording data about a debiting action for a payment type other than a FARE PRODUCT SALE DEBIT, TRIP DEBIT, OFFENCE DEBIT or BOOKING DEBIT.</font>
"
TRIP DEBIT,Class,A LOG ENTRY recording data about a debiting action for post-payment for a specific trip.
,Text,
FE Account Security MODELs,Package,
SE Customer Purchase MODELs,Package,
SE Sales Fulfilment MODEL,Package,
SE Customer Account Use MODELs,Package,
SE Fare Contract Event MODEL,Package,
SE Customer Reservation MODELs,Package,
TRAVEL SPECIFICATION EVENT,Class,The selection of a set of travel options by a TRANSPORT CUSTOMER.
FARE CONTRACT EVENT,Class,An event associated with a FARE CONTRACT.
,Text,
SALES EVENT,Class,The purchase of a product by a TRANSPORT CUSTOMER.
,Text,
,Text,
,Text,
,Text,
SE Customer Account Log Entry MODEL,Package,
SE Customer Account Use Event MODEL,Package,
CUSTOMER DEREGISTER EVENT,Class,The closing of a CUSTOMER ACCOUNT and the removal of all personal details.
,Text,
CUSTOMER ACCOUNT EVENT,Class,An action performed by a TRANSPORT CUSTOMER relating to a CUSTOMER ACCOUNT.
RESTORE CUSTOMER ACCOUNT EVENT,Class,"The reinstallation to replacement media of an electronic travel document by a TRANSPORT CUSTOMER on a MEDIA DEVICE, usually as a MEDIA APPLICATION, possibly with recovered stored value.
"
CUSTOMER MODIFY PROFILE EVENT,Class,The modification by a TRANSPORT CUSTOMER of his CUSTOMER ACCOUNT details.
,Text,
CUSTOMER REGISTER MEDIA EVENT,Class,The registration of a specific MEDIA instance such as an EMV CARD against a CUSTOMER ACCOUNT.
CUSTOMER REGISTER EVENT,Class,The registration by the TRANSPORT CUSTOMER for a new account.
RESTORE CUSTOMER ACCOUNT ENTRY,Class,A CUSTOMER ACCOUNT ENTRY recording the restoration of a CUSTOMER ACCOUNT.
CUSTOMER PROFILE MODIFICATION ENTRY,Class,A CUSTOMER ACCOUNT ENTRY recording the updating of a TRANSPORT CUSTOMER's account information.
CUSTOMER REGISTRATION ENTRY,Class,"A CUSTOMER ACCOUNT ENTRY recording the registration of a CUSTOMER and the creating of a new account.
"
CUSTOMER MEDIA REGISTRATION ENTRY,Class,"A CUSTOMER ACCOUNT ENTRY recording the registration of a media item against a CUSTOMER ACCOUNT, such as an EMV CARD as a payment method for the account."
,Text,
CUSTOMER DEREGISTRATION ENTRY,Class,A CUSTOMER ACCOUNT ENTRY recording the closing of an account and the clearing from record of all personal details of a TRANSPORT CUSTOMER.
,Text,
,Text,
CUSTOMER ACCOUNT ENTRY,Class,An abstract FARE CONTRACT ENTRY relating to a CUSTOMER ACCOUNT.
FM FE Account Security Event MODEL,Package,
FM FE Account Security Log Entry MODEL,Package,
ACCOUNT DETECT ELIGIBILITY CHANGE EVENT,Class,"The detection by an Account Based Ticketing system of a change in the eligibility of a user for a product they currently own, requiring an adjustment of some sort.
"
,Text,
ACCOUNT SECURITY EVENT,Class,A security event initiated by the processing of a CUSTOMER ACCOUNT by an Account Based Ticketing system.
DENY ACCOUNT ON SECURITY LIST EVENT,Class,The denial of rights by placing an ENTITY on a BLACKLIST and/or removing it from a WHITELIST.
,Text,
ACCOUNT SUSPEND EVENT,Class,The suspension of a CUSTOMER ACCOUNT.
,Text,
ACCOUNT REVIVE EVENT,Class,The reinstatement of a suspended CUSTOMER ACCOUNT.
ALLOW ACCOUNT ON SECURITY LIST EVENT,Class,The granting of rights by placing an ENTITY on a WHITELIST and/or removing it from a BLACKLIST.
CEASES TO BE ELIGIBLE ENTRY,Class,"A CUSTOMER ACCOUNT ENTRY recording the detection that a user has ceased to be eligible for a product for which they were previously eligible, e.g., by virtue of growing older, changing employment status, or residence."
,Text,
,Text,
BECOMES ELIGIBLE ENTRY,Class,"A CUSTOMER ACCOUNT ENTRY recording the detection that a user has become eligible for a product for which they were previously ineligible, e.g., by virtue of growing older, changing employment status, or residence. "
,Text,
SECURITY LIST DENY ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the denying of access to the transport network by the addition to a BLACKLIST or removal from a WHITELIST of a token that identifies a TRANSPORT CUSTOMER, CUSTOMER ACCOUNT, FARE CONTRACT, TRAVEL DOCUMENT, etc"
SECURITY LIST ALLOW ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the granting of access to the network by the addition to a WHITELIST or removal from a BLACKLIST of a token that identifies of an ENTITY such as a TRANSPORT CUSTOMER, CUSTOMER ACCOUNT, FARE CONTRACT, TRAVEL DOCUMENT, etc."
ACCOUNT REVIVE ENTRY,Class,"A CUSTOMER ACCOUNT ENTRY recording the reinstatement of a CUSTOMER ACCOUNT.

"
SECURITY LIST ENTRY,Class,An abstract FARE CONTRACT ENTRY relating to measures to enforce Revenue Protection.
ACCOUNT SUSPEND ENTRY,Class,"A REVENUE PROTECTION ENTRY recording the denying of access to the transport network by the addition to a BLACKLIST or removal from a WHITELIST of a token that identifies a CUSTOMER, CUSTOMER ACCOUNT, FARE CONTRACT, TRAVEL DOCUMENT, etc.

"
SE Customer Purchase Log Entry MODEL,Package,"Description of retail entries that take place through customer interaction with fare management system.
"
SE Customer Purchase Event MODEL,Package,
SE Account Sales Event MODEL,Package,
,Text,
,Text,
CUSTOMER REFUND EVENT,Class,"The giving of a refund to a TRANSPORT CUSTOMER for a product previously purchased.
"
,Text,
CUSTOMER SALES EVENT,Class,"<font color=""#0f0f0f"">The purchase or subsequent alteration of a<i> </i>FARE PRODUCT by a TRANSPORT CUSTOMER.</font>"
,Text,
CUSTOMER EXCHANGE EVENT,Class,The exchange by a TRANSPORT CUSTOMER of a product for another product.
CUSTOMER PRODUCT PURCHASE EVENT,Class,The purchase of a FARE PRODUCT by a TRANSPORT CUSTOMER.
,Text,
ACCOUNT AUTO RENEWAL EVENT,Class,"The detection by an Account Based Ticketing system that a renewable product such as a pass needs to be renewed.
NOTE: Depending on the configuration, may trigger either an automatic renewal or a notice to the customer."
ACCOUNT AUTO TOP UP EVENT,Class,"The detection by an Account Based Ticketing system that the account balance has fallen below a threshold which needs to be topped up using a preset payment method and increment.
"
,Text,
ACCOUNT SALES EVENT,Class,A sales event affecting a CUSTOMER ACCOUNT.
ACCOUNT AWARD REFUND EVENT,Class,"The detection by an Account Based Ticketing system that a refund needs to be awarded, for example because guaranteed performance targets have not been met."
,Text,
MEDIA RECHARGE PURCHASE ENTRY,Class,A SALES TRANSACTION recording the purchase of a recharge of stored value by a TRANSPORT CUSTOMER.
TRAVEL COMPENSATION ENTRY,Class,A SALES TRANSACTION recording the payment to the TRANSPORT CUSTOMER of compensation for some service shortcoming.
FARE PRODUCT EXCHANGE ENTRY,Class,A SALES TRANSACTION recording the alteration or exchange of a FARE PRODUCT for another by a TRANSPORT CUSTOMER.
FARE PRODUCT PURCHASE ENTRY,Class,A CUSTOMER PURCHASE ENTRY recording the purchase of a FARE PRODUCT by a TRANSPORT CUSTOMER.
TRIP PURCHASE ENTRY,Class,A CUSTOMER PURCHASE ENTRY recording the purchase of a single trip FARE PRODUCT by a TRANSPORT CUSTOMER.
FARE PRODUCT REFUND ENTRY,Class,A SALES TRANSACTION recording a refund given to a TRANSPORT CUSTOMER.
,Text,
CUSTOMER PRODUCT PURCHASE ENTRY,Class,"An abstract SALES TRANSACTION recording a purchase of any sort by a TRANSPORT CUSTOMER.

"
FARE PRODUCT RENEWAL ENTRY,Class,"<font color=""#0f0f0f"">A CUSTOMER PRODUCT PURCHASE ENTRY recording the renewal of a FARE PRODUCT such as a pass by a TRANSPORT CUSTOMER.</font>"
FARE PRODUCT CANCELLATION ENTRY,Class,"<font color=""#0f0f0f"">A CUSTOMER PRODUCT PURCHASE ENTRY recording the cancellation / rollback of a partially completed purchase </font>"
,Text,
,Note,Fulfilment delivers a TRAVEL DOCUMENT for a purchased FARE PRODUCT
SE Sales Fulfilment Event MODEL,Package,
SE Sales Fulfilment Log Entry MODEL,Package,"Description of fulfilment events that take place through customer interaction with fare management system.
"
,Text,
CUSTOMER MEDIA INSTALL EVENT,Class,"The installation of an electronic travel document on a MEDIA DEVICE, usually as a MEDIA APPLICATION. 
"
CUSTOMER MEDIA RESTORE EVENT,Class,"The replacement of an electronic MEDIA DEVICE.
"
,Text,
CUSTOMER PRODUCT ACTIVATION EVENT,Class,"The activation of a FARE PRODUCT, for example, on an installed MEDIA, or for use with a CUSTOMER ACCOUNT."
CUSTOMER MEDIA APPLICATION RESTORE EVENT,Class,"The reinstallation to replacement media of an electronic travel document on a MEDIA DEVICE, usually as a MEDIA APPLICATION, possibly with recovered stored value.
"
CUSTOMER FULFILMENT EVENT,Class,The delivery to a TRANSPORT CUSTOMER of a materialisation of a FARE PRODUCT as a TRAVEL DOCUMENT.
CUSTOMER COLLECT EVENT,Class,"The collection by the TRANSPORT CUSTOMER of a TRAVEL DOCUMENT and/or MEDIUM ACCESS DEVICE from any FULFILMENT CHANNEL.
"
CUSTOMER REVOKE FULFILMENT EVENT,Class,"The revoking  of a TRAVEL DOCUMENT and/or MEDIUM ACCESS DEVICE from any fulfilment means
"
MEDIA APPLICATION RESTORE ENTRY,Class,"A FULFILMENT ENTRY recording the reinstallation of a previously purchased application on a MEDIA ACCESS DEVICE, possibly with the recovery of stored value."
ADJUST BALANCE ON CHECK IN ENTRY,Class,A FULFILMENT ENTRY recording the adjustment of the balance from an amount deposited on account on a MEDIUM ACCESS DEVICE when a passenger checks in or interacts with a system.
TRAVEL DOCUMENT COLLECTION ENTRY,Class,"A FULFILMENT ENTRY recording the physical delivery of a TRAVEL DOCUMENT to a TRANSPORT CUSTOMER, for example from a ticket on demand machine at a station, or internet self-service."
TRAVEL DOCUMENT ANNULMENT ENTRY,Class,A FULFILMENT ENTRY recording the annulment of a TRAVEL DOCUMENT so that it may no longer be used.
,Text,
,Text,
,Text,
MEDIA PRODUCT DEACTIVATION ENTRY,Class,A FULFILMENT ENTRY recording the deactivation of a previously purchased or installed product. 
MEDIA PRODUCT INSTALLATION ENTRY,Class,A FULFILMENT ENTRY recording the installation of a previously purchased product on a MEDIA ACCESS DEVICE.
PURCHASE FULFILMENT ENTRY,Class,"A FULFILMENT ENTRY recording the delivery of a TRAVEL DOCUMENT to a TRANSPORT CUSTOMER by any means, for example by email, SMS or download"
MEDIA PRODUCT ACTIVATION ENTRY,Class,"A FULFILMENT ENTRY recording the activation of a previously purchased or installed product.
NOTE: Might for example also involve placing on a WHITELIST. "
FULFILMENT ENTRY,Class,An abstract FARE CONTRACT ENTRY relating to delivery of a purchase.
MEDIA RESTORE ENTRY,Class,A FULFILMENT ENTRY recording the replacement of the MEDIUM ACCESS DEVICE.
REVOKE FULFILMENT ENTRY,Class,"A FULFILMENT ENTRY recording the revoking of a previous fulfilment so that a TRAVEL DOCUMENT may be reissued.
NOTE: Authentication Tokens may be cancelled. "
,Note,
SE Customer Reservation Log Entry MODEL,Package,
SE Customer Reservation Event MODEL,Package,
CUSTOMER RESERVATION CREATION ENTRY,Class,A CUSTOMER RESERVATION CREATION ENTRY recording the reservation of an access right.
CUSTOMER RESERVATION CANCELLATION ENTRY,Class,A CUSTOMER RESERVATION ENTRY recording the cancellation of a reservation.
,Text,
,Text,
,Text,
CUSTOMER RESERVATION ENTRY,Class,An abstract SALES TRANSACTION recording the reservation of an access right for a customer.
TRIP SPOT AVAILABILITY ENTRY,Class,"A CUSTOMER RESERVATION ENTRY recording the availability of spots for given TRIP at a given moment in time.
"
,Note,NOTE: Renamed from Customer Booking Entry
CUSTOMER RESERVATION CREATION EVENT,Class,"The creation or modification of a reservation by a TRANSPORT CUSTOMER, possibly without purchase. 
"
,Text,
,Text,
,Text,
CUSTOMER RESERVATION CANCELLATION EVENT ,Class,The cancellation of a reservation by a TRANSPORT CUSTOMER.
CUSTOMER RESERVATION EVENT,Class,"An event relating to reservations 
"
CUSTOMER SPOT AVAILABILITY EVENT,Class,An action to check the availability of a SPOT for reservation to a TRANSPORT CUSTOMER for a given trip.
SPOT ALLOCATION METHOD,Class,"Method for allocating seating, and other bookable spots (for example; open seating, system assigned, self assigned from available, etc.)."
,Text,
SPOT AVAILABILITY STATUS,Class,"Current status of allocation of PASSENGER SEAT, e.g., Available, Reserved, Booked, Blocked, etc."
PASSENGER SPOT ALLOCATION,Class,"Current ALLOCATION of a LOCATABLE SPOT such as a passenger seat or on-board vehicle space to a customer <font color=""#445469"">between two STOP POINTs. </font> "
VEHICLE JOURNEY SPOT ALLOCATION,Class,"The set of current allocations of on-board LOCATABLE SPOTs (i.e., seats, vehicle berths, etc.) for a given NORMAL DATED VEHICLE JOURNEY."
,Note,PASSENGER SPOT ALLOCATION assigns a LOCATABLE SPOT (e.g. seat) to a specific passenger between two SCHEDULED STOP POINTS the JOURNEY PATTERN of a specific NORMAL DATED JOURNEY
,Note,"E.g., available, in use, reserved, out of service"
,Text,
,Note,"PASSENGER SPOT ALLOCATION records the allocation of a specific seat (PASSENGER SPOT) between two stops (SCHEDULED STOP POINTs) on a specific journey and date (NORMAL DATED JOURNEY) to a specific passenger (TRANSPORT CUSTOMER).

VEHICLE JOURNEY SPOT ALLOCATION contains all the allocations for the journey"
,Text,
,Note,"EQUIPMENT associated with a spot can specify detailed quantitative properties of a seat or bed in a spot, e.g., seat height, adjustable, power sockets, etc.
NB FACILITies can be used for simple list of named amenities.
"
,Text,
,Note,The potentially bookable seats (i.e. LOCATABLE SPOTs) available on a given journey are specified by the DECK PLAN associated with the JOURNEY or JOURNEY PART.
,Note,"PASSENGER SPOT ALLOCATION records the allocation of a specific seat (PASSENGER SPOT) between two stops (SCHEDULED STOP POINTs) on a specific journey and date (NORMAL DATED JOURNEY) to a specific passenger (TRANSPORT CUSTOMER).

VEHICLE JOURNEY SPOT ALLOCATION contains all the allocations for the journey"
,Note,"E.g., available, in use, reserved, out of service"
,Text,
TRAVEL PREFERENCES,Class,"Explicit or implicit preferences for travel of the actual TRANSPORT CUSTOMER to be used when making requests.
"
,Text,
CONVENTIONAL MODE TRAVEL PREFERENCES,Class,"Preferences for trip optimisation, e.g., least changes, fastest, least walking, etc.
"
FAVOURITE PLACE,Class,"A designated favourite place for the user that will be used repeatedly on requests, such as Home, Work, Gym, etc
"
ALTERNATIVE MODE TRAVEL PREFERENCES,Class,"Preferences of the TRANSPORT CUSTOMER that may be used when making requests for trips that include ALTERNATIVE MODE LEGs.
"
CYCLING TRAVEL PREFERENCES,Class,"Preferences the TRANSPORT CUSTOMER may use when making trip requests that include cycling legs.
"
HIKING TRAVEL PREFERENCES,Class,"Preferences the TRANSPORT CUSTOMER to be used when making requests that include hiking legs.
"
,Note,"Attributes shown for preferences and specialisations of TRAVEL PREFERENCES for different mode are just indicative. Further specialisations and attributes might be relevant for an actual implementation. For example, DRIVING TRAVEL PREFERENCES with satnav, automatic transmission, etc."
PREFERRED MODE,Class,"A preference by the user to travel by a specific mode and/or submode.
"
,Text,
,Text,
OFFERED TRAVEL SPECIFICATION,Class,"A set of parameters giving details of the offered consumption of access rights associated with a SALES PACKAGE OFFER or a CUSTOMER PURCHASE PACKAGE, (e.g., origin and destination of a travel, class of travel, etc.)."
TRAVEL SPECIFICATION,Class,"A set of parameters giving details of an intended consumption of access rights by a TRANSPORT CUSTOMER (e.g., origin and destination of a travel, class of travel, etc.)."
SPECIFIC PARAMETER ASSIGNMENT,Class,"A VALIDITY PARAMETER ASSIGNMENT specifying practical parameters during a TRAVEL SPECIFICATION, within a given fare structure (e.g., the origin or destination zone in a zone-counting system)."
,Text,
REQUESTED TRAVEL SPECIFICATION,Class,"A set of parameters giving details of an intended consumption of access rights requested by a TRANSPORT CUSTOMER (e.g., origin and destination of a travel, class of travel, etc.)."
,Text,
,Text,
LEG IN TRAVEL SPECIFICATION,Class,"RIDE LEG offered by TRAVEL SPECIFICATION, in Sequence
"
CUSTOMER PURCHASE STATUS,Class,"A classification of possible statuses of CUSTOMER PURCHASE PACKAGE, e.g., booked, paid for, consumed."
CUSTOMER PURCHASE PARAMETER ASSIGNMENT,Class,"A VALIDITY PARAMETER ASSIGNMENT specifying detailed parameters corresponding to a particular CUSTOMER PURCHASE PACKAGE, chosen from those available for a given fare structure (e.g. the origin or destination zone in a zone-counting system)."
CUSTOMER PURCHASE PACKAGE,Class,"A purchase of a SALES OFFER PACKAGE by a TRANSPORT CUSTOMER, giving access rights corresponding to those of one or several FARE PRODUCTs materialised as one or several TRAVEL DOCUMENTs."
,Text,
CUSTOMER PURCHASE PACKAGE PRICE,Class,A specialisation of FARE PRICE that defines the price of a CUSTOMER PURCHASE PACKAGE.
,Text,
CUSTOMER PURCHASE PACKAGE ELEMENT,Class,"A purchase of a SALES OFFER PACKAGE ELEMENT by a TRANSPORT CUSTOMER, with an indication of all selected parameters.
"
,Text,
,Text,
,Text,
,Note,"RESPONSIBILITY SETs may be associated with any ENTITY (i.e., SALES OFFER PACKAGE, FARE PRODUCT, CUSTOMER PURCHASE PACKAGE, TRAVEL DOCUMENT, etc). to indicate the ROLEs to be played by different ORGANISATIONs."
,Text,
,Note,"RESPONSIBILITY SET can be used to assign to TRAVEL DOCUMENT and CUSTOMER PURCHASE PACKAGE ELEMENT various FARE MANAGEMENT and TECHNOLOGY ORGANISATION ROLES. 
"
,Text,
,Text,
FR Fare Management Role MODEL,Package,The Fare Management Role model describes the corporate actors who provide transport services.
FR Fare Technology Role MODEL,Package,
,Text,
FARE SECURITY MANAGER ROLE,Class,"<font color=""#0f0f0f"">The ADMINISTRATIVE ORGANISATION ROLE of establishing and coordinating a security policy for fare data across the provider organisations, and of the certifying and auditing of organisations, applications, etc., for their conformance to the security policy.</font>
"
FARE DATA COLLECTOR ROLE,Class,"The role of collecting and forwarding fare data between the various parties concerned with product delivery, such as PRODUCT RETAILER, PRODUCT OWNER, etc.
NOTE: May be undertaken by a separate intermediary."
FARE PRODUCT RETAILER ROLE,Class,"The role of an organisation to sell products to TRANSPORT CUSTOMERs, as authorised by the holder of a FARE PRODUCT OWNER ROLE.
NOTE: The FARE PRODUCT RETAILER ROLE may be undertaken by the same party as the FARE PRODUCT OWNER ROLE, the ACCOUNT PROVIDER ROLE, or a secondary outlet such as a TRAVEL AGENT, newsagent, or other third party, etc."
FARE REGISTRAR ROLE,Class,"The ADMINISTRATIVE ORGANISATION ROLE of coordinating the issue of unique registration codes (for example, by determining rules for generating unique codes) for data linked to fare management such as FARE CONTRACTs, TRAVEL DOCUMENTs, etc. 
"
,Text,
FARE ORGANISATION ROLE,Class,Any corporate role in providing or managing transport services.
FARE PRODUCT ISSUER ROLE,Class,"A role of an organisation introduced when there are a large number of fare product owners and a large number of distributors.
NOTE: The FARE PRODUCT ISSUER ROLE makes a portfolio of products available to a product distributor to be sold via product retailers to TRANSPORT CUSTOMERs.
"
FARE PRODUCT ATTRIBUTOR ROLE,Class,"The role of being an agent of a FARE PRODUCT OWNER, i.e., the role of an intermediary organisation to whom certain responsibilities have been delegated by the FARE PRODUCT OWNER, for instance to provide the technical implementation of the products defined by the FARE PRODUCT OWNER."
FARE PRODUCT DISTRIBUTOR ROLE,Class,"<font color=""#0f0f0f"">The role, in large networks, of organising and accounting for the wholesale distribution of FARE PRODUCTs, as delegated by the FARE PRODUCT OWNER ROLE and to supply products to the FARE PRODUCT RETAILER ROLE.</font>"
,Text,
,Text,
FARE PRODUCT OWNER ROLE,Class,"The role of the organisation which has commercial ownership of a FARE PRODUCT and is responsible for specifying pricing, usage conditions and commercial rules for the product, for ensuring there are processes for marketing and retailing the product, customer payment, control and validation, back office accounting and settlement and for customer service.
"
,Text,
FR Fare Management Role Associations MODEL,Package,
PAYMENT PROVIDER ROLE,Class,"The role of channelling funds from the CUSTOMER to the FARE PRODUCT RETAILER for travel services, and particularly for usage-based travel products (e.g., EMV provider, ApplePay, PayPal, Android Pay, etc.).

"
IDENTITY PROVIDER ROLE,Class,"The role of supplying a trusted identity token that can be associated with a CUSTOMER ACCOUNT, TRAVEL DOCUMENT, etc.
NOTE: The IDENTITY PROVIDER ROLE may be undertaken by transport AUTHORITies and OPERATORs, but also non-transport organisations, such as governments central and local, mobile network operators, or online service providers (e.g., Google, Facebook) and banks.
"
,Text,
MEDIUM APPLICATION OWNER ROLE,Class,"For media-centric products, the APPLICATION OWNER ROLE has commercial ownership of the software MEDIA APPLICATION hosting a product and is contracted by the PRODUCT OWNER for the use of the application with the customer. "
MEDIA PROVIDER ROLE,Class,"The role of supplying the media used for the TRAVEL DOCUMENT, that is a physical support containing a machine readable/writable data/processor application.
NOTE: This can include transport industry smartcards, payment industry contactless cards, public sector issued cards, mobile phones or paper (for barcodes), new formats such as watches and key fobs, and NFC enabled devices."
,Text,
MEDIUM APPLICATION PROVIDER ROLE,Class,"For media-centric products, the APPLICATION PROVIDER supplies the software application that hosts a TRAVEL DOCUMENT and presents it to CONTROL DEVICEs for automatic control and validation. "
,Text,
ACCOUNT PROVIDER ROLE,Class,"In Account Based Ticketing, the ACCOUNT PROVIDER provides the online account by means of which the product is delivered. Normally this involves a direct relationship with the CUSTOMER, though it may also be done as a white-labelled service for another party."
FR Fare Transport Customer Role MODEL,Package,The Fare User Role model describes the human actors who use transport services.
FE Control & Validation Event MODELs,Package,
FC Access Right Control MODEL,Package,
FC Control & Validation VIEWS,Package,
FC Control Means MODEL,Package,Description of the available means and devices with which validation and control of fares may be undertaken.
FC Access Right Validation MODEL,Package,Description of control and validation record created by customer interaction.
,Text,
GROUP MEMBER ROLE,Class,"The role of a passenger travelling under the access rights granted by a GROUP TICKET. 
"
PASSENGER ROLE,Class,The general role of consuming a travel service.
OFFENDER ROLE,Class,The role enacted by someone attempting to travel with no or insufficient access rights.
,Text,
,Text,
INDIVIDUAL PASSENGER ROLE,Class,The role of a passenger consuming a travel service as a single individual.
INDIVIDUAL PURCHASER ROLE,Class,"The role of a person in purchasing a FARE PRODUCT as a private individual; often, but not necessarily, the same as the PASSENGER ROLE.
"
COMPANION ROLE,Class,"The role of accompanying another passenger under the access rights granted by the other passenger's ticket.
"
