Name,Type,Notes
SITE COMPONENT,Class,"An element of a SITE describing a part of its structure.
NOTE: SITE COMPONENTs share common properties for data management, accessibility and other features."
ENTRANCE,Class,"A physical entrance or exit to/from a SITE; may be a door, barrier, gate or other recognizable point of access.

"
ACCESS ZONE,Class,A ZONE for which the duration needed to reach a particular STOP POINT is considered to be the same.
VEHICLE ENTRANCE,Class,"A physical entrance or exit to/from a SITE for a VEHICLE.
NOTE: May be a door, barrier, gate or other recognizable point of vehicle access."
SITE,Class,A well known PLACE to which passengers may refer to indicate the origin or a destination of a trip. 
LEVEL,Class,"An identified storey (ground, first, basement, mezzanine, etc.) within an interchange building or SITE on which SITE COMPONENTs reside.
NOTE: A PATH LINK may connect components on different levels.

"
,Text,
SERVICE SITE,Class,"A sub-type of SITE which is of specific interest for the operator (e.g., where a joint service or a joint fee is proposed), other than a STOP PLACE."
,Text,
SITE ELEMENT,Class,"A specialisation of ADDRESSABLE PLACE describing common properties of a SITE or a SITE COMPONENT, including accessibility."
,Text,
,Text,
SITE STRUCTURE,Class,"A building or a separate part thereof within a SITE.

"
LEVEL IN STRUCTURE,Class,"<font color=""#445469"">A LEVEL, i.e., storey in a building, that is accessible in a SITE STRUCTURE with its relative lateral order in that SITE STRUCTURE counted from the bottom and upwards.</font>

"
GROUP OF SITES,Class,"A grouping of SITEs for a particular functional purpose, usually the SITEs will be non-contiguous, such as the airports for a CITY."
,Text,
TYPE OF ENTRANCE,Class,"A classification for ENTRANCE for example as an opening, door, barrier etc."
STOP PLACE,Class,"A place comprising one or more locations where vehicles may stop and where passengers may board or leave vehicles or prepare their trip.
NOTE: A STOP PLACE will usually have one or more well-known names. "
,Text,
QUAY,Class,"A place such as platform, stance, or quay side where passengers have access to PT vehicles, Taxis, cars or other means of transportation.
NOTE1: A QUAY may serve one or more VEHICLE STOPPING PLACEs and be associated with one or more SCHEDULED STOP POINTS.
NOTE2: A QUAY may contain other sub QUAYs.
NOTE3: A child QUAY must be physically contained within its parent QUAY. 
"
TYPE OF STOP PLACE,Class,"A classification for STOP PLACEs (e.g., complex, simple, multimodal, etc.)."
STOP PLACE SPACE,Class,"A physical area within a STOP PLACE, for example, a QUAY, BOARDING POSITION, ACCESS SPACE or EQUIPMENT PLACE. "
STOP PLACE ENTRANCE,Class,"A physical entrance or exit to/from a STOP PLACE for a Passenger; may be a door, barrier, gate or other recognizable point of access. "
BOARDING POSITION,Class,"A location within a QUAY from which passengers may directly board, or onto which passengers may directly alight from a VEHICLE."
STOP PLACE VEHICLE ENTRANCE`,Class,A physical entrance or exit to/from a STOP PLACE for a vehicle.
STOP PLACE COMPONENT,Class,"An element of a STOP PLACE describing part of its structure.
NOTE: STOP PLACE COMPONENTs share common properties for data management, accessibility and other features. "
,Text,
TYPE OF QUAY,Class,A classification for QUAYs.
TYPE OF BOARDING POSITION,Class,A classification for BOARDING POSITIONs.
ACCESS SPACE,Class,"A passenger area within a STOP PLACE such as a concourse or booking hall, immigration hall or security area that is accessible by passengers, but without a direct access to vehicles.
NOTE: Direct access to a VEHICLE is always from a QUAY and/or BOARDING POSITION."
TYPE OF PASSAGE,Class,"A classification for spaces to express how the space can be used as a passage (e.g., as pathway, corridor, overpass, underpass, tunnel, etc.)."
,Text,
TYPE OF ACCESS SPACE,Class,"A classification for ACCESS SPACE, e.g. forecourt ticket hall, shop, etc."
FLEXIBLE QUAY,Class,A physical ZONE such as a section of a road where a flexible service is available on demand.
HAIL AND RIDE AREA,Class,Specialisation of a FLEXIBLE QUAY defining a physical section of road between a start and end point within which a Hail and Ride service is available.
FLEXIBLE STOP ASSIGNMENT,Class,"The allocation of a SCHEDULED STOP POINT (i.e., a STOP POINT of a SERVICE PATTERN or JOURNEY PATTERN) to a specific FLEXIBLE STOP PLACE, and also possibly a FLEXIBLE AREA or HAIL AND RIDE AREA.
NOTE: May be subject to a VALIDITY CONDITION."
FLEXIBLE STOP PLACE,Class,"A specialisation of the STOP PLACE describing a stop of a FLEXIBLE SERVICE.
NOTE1: It may be composed of FLEXIBLE AREAs or HAIL AND RIDE AREAs identifying the catchment areas for flexible services (when they use areas or flexible quays).
NOTE2: Some FLEXIBLE SERVICEs also use regular STOP PLACEs for their stops."
,Text,
FLEXIBLE AREA,Class,Specialisation of a FLEXIBLE QUAY (which is abstract) to identify what is the catchment area for a flexible service (so that a stop finder can find the nearest available types of transport). 
,Text,
,Text,
POINT OF INTEREST CLASSIFICATION HIERARCHY,Class,"A logical hierarchy for organizing POINT OF INTEREST CLASSIFICATIONs.
NOTE: A POINT OF INTEREST CLASSIFICATION can belong to more than one hierarchy."
POINT OF INTEREST ENTRANCE,Class,Specialisation of ENTRANCE to enter/exit a POINT OF INTEREST. 
TYPE OF POINT OF INTEREST SPACE,Class,A classification for POINT OF INTEREST SPACEs.
POINT OF INTEREST COMPONENT,Class,Specialisation of SITE COMPONENT for COMPONENT of POINT OF INTEREST.
POINT OF INTEREST CLASSIFICATION,Class,"A classification of a POINT OF INTEREST that may be used in a POINT OF INTEREST CLASSIFICATION HIERARCHY to categorise the point by nature of interest using a systematic taxonomy, for example Museum, Football, Stadium, etc."
POINT OF INTEREST VEHICLE ENTRANCE,Class,A physical entrance for VEHICLEs to enter or exit a POINT OF INTEREST.
POINT OF INTEREST SPACE,Class,"A specialisation of POINT OF INTEREST COMPONENT representing a physical area within the POINT OF INTEREST, such as a concourse."
POINT OF INTEREST,Class,A type of PLACE to or through which passengers may wish to navigate as part of their journey and which is modelled in detail by journey planners.
POINT OF INTEREST CLASSIFICATION MEMBER,Class,"The POINT OF INTEREST CLASSIFICATION and POINT OF INTEREST CLASSIFICATION MEMBER are used to encode a hierarchy of classifications to index and find different types of POINT OF INTEREST; for example, <i>Educational Building -&gt; School -&gt; Primary School</i>, or <i>Cultural</i>
<i>Attraction -&gt; Museum -&gt; Art Museum</i>.
NOTE: POINT OF INTEREST CLASSIFICATION MEMBERSHIP does not have to be disjoint, i.e., the same category may appear in more than one classification."
,Text,
FO Local Service MODEL ,Package,
FO Local Commercial Service MODEL,Package,
FO PassengerEquipment MODELs,Package,
FO Site Access Equipment MODELs,Package,
FO Parking Equipment MODEL,Package,
FO Assistance Booking Service MODEL ,Package,
,Text,
,Text,
FO Place Equipment Location MODEL,Package,
,Note,PASSENGER EQUIPMENT is either fixed or on-board
EQUIPMENT PLACE,Class,A SITE COMPONENT containing EQUIPMENT.
,Note,PLACE EQUIPMENT is fixed
,Text,
EQUIPMENT POSITION,Class,The precise position within an EQUIPMENT PLACE where particular equipment is placed. 
,Note,PASSENGER EQUIPMENT is either fixed or on-board
,Text,
,Note,PLACE EQUIPMENT is fixed
,Text,
FO Passenger Service Equipment MODEL,Package,
FO Site Equipment MODEL,Package,
FO Ticketing Equipment MODEL,Package,
TROLLEY STAND EQUIPMENT,Class,Specialisation of STOP PLACE EQUIPMENT describing trolley stands.
SITE EQUIPMENT,Class,"Specialisation of PLACE EQUIPMENT describing common properties of EQUIPMENT for SITEs (e.g., for LUGGAGE LOCKER, WAITING EQUIPMENT, TROLLEY STAND, etc.),"
SEATING EQUIPMENT,Class,Specialisation of WAITING EQUIPMENT describing the properties of seating
WAITING ROOM EQUIPMENT,Class,"Specialisation of WAITING EQUIPMENT describing waiting rooms (number of seats, type, FACILITIEs, etc.)."
WAITING EQUIPMENT,Class,"Specialisation of SITE EQUIPMENT describing common features of waiting areas (shelter, waiting room, etc.). 
"
TYPE OF WAITING ROOM,Class,A classification for WAITING ROOM EQUIPMENT.
TYPE OF SHELTER,Class,A classification for SHELTER EQUIPMENT. 
LUGGAGE LOCKER EQUIPMENT,Class,Specialisation of SITE EQUIPMENT describing luggage lockers.
SHELTER EQUIPMENT,Class,Specialisation of WAITING EQUIPMENT describing a shelter.
TYPE OF SEATING EQUIPMENT,Class,A classification for SEATING EQUIPMENT.
TYPE OF LUGGAGE LOCKER,Class,"A classification for LUGGAGE LOCKER EQUIPMENT (e.g., left luggage, lockers, bike carriage, porterage, free trolleys, paid trolleys)."
,Text,
HELP POINT EQUIPMENT,Class,Specialisation of PASSENGER EQUIPMENT describing a HELP POINT.
PASSENGER BEACON EQUIPMENT,Class,Specialisation of PASSENGER EQUIPMENT describing a beacon to assist disabled passengers.
TYPE OF PASSENGER BEACON,Class,A classification for a PASSENGER BEACON.
PASSENGER BEACON PROTOCOL,Class,"A classification of the device communication protocol used for a PASSENGER BEACON EQUIPMENT (iBEAcon, VDV431, EDDYSTONE, etc.)."
,Text,
RUBBISH DISPOSAL,Class,"Specialisation of EQUIPMENT describing rubbish disposal features, (permitted rubbish types, etc.)"
PASSENGER SAFETY EQUIPMENT,Class,Specialisation of PASSENGER EQUIPMENT describing passenger safety features of a SITE.
SANITARY EQUIPMENT,Class,"Specialisation of PASSENGER EQUIPMENT describing sanitary facilities (WC, shower, etc.)."
TYPE OF SANITARY FACILITY,Class,"A classification for SANITARY EQUIPMENT (e.g., toilet, wheelchair access toilet, shower, baby change, wheelchair baby change)"
,Text,
TICKET VALIDATOR EQUIPMENT,Class,Specialisation of PASSENGER EQUIPMENT (PLACE EQUIPMENT) describing ticket validators.
TICKETING EQUIPMENT,Class,Specialization of PASSENGER EQUIPMENT for ticketing.
,Text,
,Text,
METHOD OF QUEUE MANAGEMENT,Class,"A classification of method used to manage a queue, e.g., rails, parallel rails, ticket, appointment, etc."
FO Access Equipment MODEL,Package,
FO Sign Equipment MODEL,Package,
FO Stair Equipment MODEL,Package,
,Text,
TYPE OF LIGHTING,Class,"A classification of a PLACE LIGHTING as well-lit, poorly lit, etc."
LIGHTING ON METHOD,Class,A classification of methods for turning lights on and off.
TYPE OF CROSSING,Class,A classification for road CROSSING EQUIPMENT.
